City|State short|State full|County|City alias|Latitude|Longitude
Alma|GA|Georgia|BACON|Guysie|31.5393701|-82.4623557
Warner Robins|GA|Georgia|HOUSTON|Warner Robins|32.6130007|-83.624201
Glenwood|GA|Georgia|WHEELER|Glenwood|32.1799008|-82.6695802
Brooklet|GA|Georgia|BULLOCH|Mcgregor|32.37962940000001|-81.6631659
Duluth|GA|Georgia|FULTON|Johns Creek|34.0028786|-84.1446376
Atlanta|GA|Georgia|FULTON|Atlanta Ndc|33.8035058|-84.4771157
Manchester|GA|Georgia|MERIWETHER|Manchester|32.8598538|-84.6199251
Cotton|GA|Georgia|MITCHELL|Cotton|31.1615734|-84.0668445
Atlanta|GA|Georgia|FULTON|Avon|33.7224028|-84.4325236
Mount Zion|GA|Georgia|CARROLL|Mount Zion|33.6269098|-85.1792304
Brookfield|GA|Georgia|TIFT|Brookfield|31.4185227|-83.39099329999999
Murrayville|GA|Georgia|HALL|Murrayville|34.4187083|-83.9057392
Columbus|GA|Georgia|MUSCOGEE|Col|32.4609764|-84.9877094
Carrollton|GA|Georgia|CARROLL|University Of West Georgia|33.5735465|-85.1028302
Franklin Springs|GA|Georgia|FRANKLIN|Franklin Springs|34.28482839999999|-83.1443161
Barwick|GA|Georgia|BROOKS|Barwick|30.8901919|-83.7407217
Dry Branch|GA|Georgia|TWIGGS|Dry Branch|32.8006943|-83.4985112
Alamo|GA|Georgia|WHEELER|Alamo|32.1471202|-82.7779171
Macon|GA|Georgia|BIBB|Business Reply Mail|32.7853297|-83.67584599999999
Loganville|GA|Georgia|WALTON|Loganville|33.8389977|-83.90073819999999
Metter|GA|Georgia|CANDLER|Metter|32.397118|-82.0601195
Franklin|GA|Georgia|HEARD|Ctrlhatchee|33.3690045|-85.103554
Byron|GA|Georgia|PEACH|Byron|32.6537561|-83.7596295
Brunswick|GA|Georgia|GLYNN|Everett|31.3905013|-81.63871960000002
Atlanta|GA|Georgia|FULTON|Atlanta|33.7489954|-84.3879824
Ranger|GA|Georgia|GORDON|Ranger|34.5011995|-84.7096571
Martin|GA|Georgia|STEPHENS|Martin|34.4870458|-83.18487809999999
Cornelia|GA|Georgia|HABERSHAM|Cornelia|34.5114883|-83.5271166
Jenkinsburg|GA|Georgia|BUTTS|Jenkinsburg|33.3245628|-84.0357465
Grovetown|GA|Georgia|COLUMBIA|Grovetown|33.4504157|-82.1981764
Avondale Estates|GA|Georgia|DEKALB|Avondale Est|33.7756574|-84.2706359
Lincolnton|GA|Georgia|LINCOLN|Sybert|33.7923477|-82.479018
Austell|GA|Georgia|COBB|Austell|33.8126059|-84.6343783
Atlanta|GA|Georgia|FULTON|Industrial|33.7751975|-84.4018466
Thomasville|GA|Georgia|THOMAS|Gateway|30.8558191|-83.9472007
Fort Benning|GA|Georgia|MUSCOGEE|Camp Rogers|32.3467936|-84.8347751
Tybee Island|GA|Georgia|CHATHAM|Fort Screven|32.0210474|-80.84427699999999
Woodbury|GA|Georgia|MERIWETHER|Woodbury|32.9837394|-84.58270309999999
Springfield|GA|Georgia|EFFINGHAM|Stillwell|32.3642241|-81.30418
Edison|GA|Georgia|CALHOUN|Edison|31.5582271|-84.7382526
Jasper|GA|Georgia|PICKENS|Jasper|34.4695524|-84.4289888
Moultrie|GA|Georgia|COLQUITT|Riverside|31.1811122|-83.8058131
Lincolnton|GA|Georgia|LINCOLN|Loco|33.7222955|-82.5140631
Pembroke|GA|Georgia|BRYAN|Pembroke|32.1360332|-81.6220565
Dublin|GA|Georgia|LAURENS|Lollie|32.4799429|-82.9489242
Sautee Nacoochee|GA|Georgia|WHITE|Sautee Nacoochee|34.6839825|-83.67434999999999
Lookout Mountain|GA|Georgia|WALKER|Lookout Mountain|34.9775757|-85.35773630000001
Young Harris|GA|Georgia|TOWNS|Young Harris|34.9331453|-83.8471223
Marietta|GA|Georgia|COBB|Dobbins Air Force Base|33.9188582|-84.50464509999999
Hillsboro|GA|Georgia|JASPER|Round Oak|33.0986323|-83.7141846
Mitchell|GA|Georgia|GLASCOCK|Mitchell|33.2198688|-82.7031896
Duluth|GA|Georgia|GWINNETT|Berkeley Lake|33.983712|-84.18658479999999
Seville|GA|Georgia|WILCOX|Seville|31.9604535|-83.6010007
Tignall|GA|Georgia|WILKES|Tignall|33.8676229|-82.7412511
Adrian|GA|Georgia|EMANUEL|Adrian|32.5307224|-82.5892995
Chatsworth|GA|Georgia|MURRAY|Chatsworth|34.7659145|-84.7699385
Clyo|GA|Georgia|EFFINGHAM|Clyo|32.4840731|-81.2670507
Atlanta|GA|Georgia|FULTON|Suntrust|33.8010486|-84.4273017
Louisville|GA|Georgia|JEFFERSON|Louisville|33.0015407|-82.4112377
Dearing|GA|Georgia|MCDUFFIE|Dearing|33.41319470000001|-82.3851255
Smyrna|GA|Georgia|COBB|Smyrna|33.8839926|-84.51437609999999
Swainsboro|GA|Georgia|EMANUEL|Gary|32.5677973|-82.32593849999999
Maysville|GA|Georgia|BANKS|Maysville|34.2528839|-83.5615548
Mc Caysville|GA|Georgia|FANNIN|Mccaysville|34.9861914|-84.37131169999999
Perry|GA|Georgia|HOUSTON|Perry|32.4582065|-83.7315723
Dewy Rose|GA|Georgia|ELBERT|Dewy Rose|34.1698309|-82.95291979999999
White|GA|Georgia|BARTOW|White|34.2828722|-84.7452138
Good Hope|GA|Georgia|WALTON|Good Hope|33.7848398|-83.60905749999999
Hiram|GA|Georgia|PAULDING|Hiram|33.8756601|-84.7621592
Ellabell|GA|Georgia|BRYAN|Black Creek|32.1235367|-81.4856673
Newton|GA|Georgia|BAKER|Newton|31.3129575|-84.3357424
Woodland|GA|Georgia|TALBOT|Woodland|32.787356|-84.56186710000001
Townsend|GA|Georgia|MCINTOSH|Ashintilly|31.3831387|-81.4115623
Decatur|GA|Georgia|DEKALB|North Decatur|33.7748275|-84.2963123
Ellijay|GA|Georgia|GILMER|Ellijay|34.6948076|-84.4821498
Palmetto|GA|Georgia|FULTON|Palmetto|33.5178907|-84.66965479999999
Geneva|GA|Georgia|TALBOT|Geneva|32.579862|-84.5507559
Shannon|GA|Georgia|FLOYD|Shannon|34.3431937|-85.0783625
Mount Berry|GA|Georgia|FLOYD|Mount Berry|34.275093|-85.1832843
Waynesboro|GA|Georgia|BURKE|Shell Bluff|33.0898731|-82.0156736
Savannah|GA|Georgia|CHATHAM|Wilmington Is|32.0035477|-80.97372299999999
Surrency|GA|Georgia|APPLING|Surrency|31.7238139|-82.19790119999999
Social Circle|GA|Georgia|WALTON|Social Circle|33.656228|-83.718231
La Fayette|GA|Georgia|WALKER|La Fayette|34.7048022|-85.2818998
Manassas|GA|Georgia|TATTNALL|Manassas|32.1604689|-82.01956249999999
Hagan|GA|Georgia|EVANS|Hagan|32.1560257|-81.9337275
Colquitt|GA|Georgia|MILLER|Colquitt|31.17129349999999|-84.7332527
Hahira|GA|Georgia|LOWNDES|Hahira|30.9913064|-83.3726575
Whigham|GA|Georgia|GRADY|Whigham|30.8829681|-84.3237944
Atlanta|GA|Georgia|DEKALB|Winters Chapel|33.9366464|-84.26737920000001
Blakely|GA|Georgia|EARLY|Blakely|31.3776754|-84.93409199999999
Colbert|GA|Georgia|MADISON|Colbert|34.0378903|-83.2126517
Norcross|GA|Georgia|GWINNETT|Peachtree Corners|33.9412127|-84.2135309
Rock Spring|GA|Georgia|WALKER|Rock Spring|34.8242089|-85.24060879999999
Woodstock|GA|Georgia|CHEROKEE|Holly Springs|34.1366039|-84.50155749999999
Hawkinsville|GA|Georgia|PULASKI|Klondike|32.3510809|-83.6238928
Iron City|GA|Georgia|SEMINOLE|Iron City|31.0135189|-84.8129778
De Soto|GA|Georgia|SUMTER|De Soto|31.9536688|-84.0616709
Fargo|GA|Georgia|CLINCH|Fargo|30.6818841|-82.5665192
Cohutta|GA|Georgia|WHITFIELD|Cohutta|34.95952090000001|-84.95272349999999
Eatonton|GA|Georgia|PUTNAM|Haband|33.2998369|-83.374715
Clayton|GA|Georgia|RABUN|Clayton|34.8781479|-83.4009933
Sumner|GA|Georgia|WORTH|Sumner|31.512959|-83.7385063
Reidsville|GA|Georgia|TATTNALL|Georgia State Penitentiary|32.0036453|-82.1643447
Tunnel Hill|GA|Georgia|WHITFIELD|Tunnel Hill|34.8406339|-85.04272569999999
Atlanta|GA|Georgia|FULTON|Georgia Tech|33.7756178|-84.39628499999999
Macon|GA|Georgia|BIBB|Huber|32.704308|-83.5562927
Brunswick|GA|Georgia|GLYNN|Glynco|31.2224512|-81.5101023
Valdosta|GA|Georgia|LOWNDES|Remerton|30.8440899|-83.3104307
Pearson|GA|Georgia|ATKINSON|Pearson|31.297703|-82.8523668
Milledgeville|GA|Georgia|BALDWIN|Milledgeville|33.0801429|-83.2320991
Baconton|GA|Georgia|MITCHELL|Baconton|31.379623|-84.161017
Atlanta|GA|Georgia|DEKALB|Irs Service Center|33.7653316|-84.3870255
Harlem|GA|Georgia|COLUMBIA|Campania|33.4145834|-82.3126237
Villa Rica|GA|Georgia|CARROLL|Villa Rica|33.732052|-84.9191081
Decatur|GA|Georgia|DEKALB|Decatur|33.7748275|-84.2963123
Atlanta|GA|Georgia|FULTON|Mellon Bank|33.844659|-84.42669699999999
Jewell|GA|Georgia|WARREN|Jewell|33.2960436|-82.77733599999999
Buckhead|GA|Georgia|MORGAN|Buckhead|33.8372663|-84.406761
Pulaski|GA|Georgia|CANDLER|Pulaski|32.232644|-83.46435509999999
Ringgold|GA|Georgia|CATOOSA|Ringgold|34.9159099|-85.1091173
Riverdale|GA|Georgia|CLAYTON|Riverdale|33.6172144|-84.44595640000001
Cordele|GA|Georgia|CRISP|Cordele|31.9635074|-83.7823938
Morganton|GA|Georgia|FANNIN|Morganton|34.81130890000001|-84.1842841
Roberta|GA|Georgia|CRAWFORD|Roberta|32.7218072|-84.0132433
Berlin|GA|Georgia|COLQUITT|Berlin|31.069038|-83.6235004
Ambrose|GA|Georgia|COFFEE|Ambrose|31.5938031|-83.0143147
Atlanta|GA|Georgia|DEKALB|Doraville|33.8981579|-84.2832564
Commerce|GA|Georgia|BANKS|Commerce|34.203997|-83.4571057
Bellville|GA|Georgia|EVANS|Bellville|32.1524142|-81.97428390000002
Locust Grove|GA|Georgia|HENRY|Locust Grove|33.3459495|-84.109083
Lizella|GA|Georgia|BIBB|Lizella|32.8069216|-83.819985
Lithia Springs|GA|Georgia|DOUGLAS|Lithia Spgs|33.7939953|-84.6604899
Jeffersonville|GA|Georgia|TWIGGS|Jeffersonvlle|32.687646|-83.3465561
Franklin|GA|Georgia|HEARD|Franklin|33.2776182|-85.0979973
Morrow|GA|Georgia|CLAYTON|Lake City|33.6064989|-84.3352017
Ila|GA|Georgia|MADISON|Ila|34.1726093|-83.29209879999999
Warner Robins|GA|Georgia|HOUSTON|Robins AFB|32.6400014|-83.591719
Brooklet|GA|Georgia|BULLOCH|Hubert|32.37962940000001|-81.6631659
Milledgeville|GA|Georgia|BALDWIN|Central State Hospital|33.0468611|-83.2239458
Columbus|GA|Georgia|MUSCOGEE|Amer Fam Life Ins Brm|32.538567|-84.958896
Hoschton|GA|Georgia|JACKSON|Hoschton|34.096496|-83.7612839
Jesup|GA|Georgia|WAYNE|Mckinnon|31.42521799999999|-81.92678049999999
Reynolds|GA|Georgia|TAYLOR|Reynolds|32.5598685|-84.09630039999999
Broxton|GA|Georgia|COFFEE|Broxton|31.6251911|-82.88681129999999
Fort Benning|GA|Georgia|MUSCOGEE|Cols|32.3886715|-84.95531969999999
Haralson|GA|Georgia|COWETA|Haralson|33.2265099|-84.5713164
White Plains|GA|Georgia|GREENE|White Plains|33.4720779|-83.03542890000001
Millwood|GA|Georgia|WARE|Millwood|31.2657632|-82.66041899999999
Flowery Branch|GA|Georgia|HALL|Flowery Branch|34.1851017|-83.9251809
Tallulah Falls|GA|Georgia|RABUN|Tallulah Falls|34.7306498|-83.3943316
Norcross|GA|Georgia|GWINNETT|Berkeley Lake|33.983712|-84.18658479999999
Toccoa|GA|Georgia|STEPHENS|Toccoa|34.5773206|-83.3323851
Flintstone|GA|Georgia|WALKER|Flintstone|34.9417429|-85.34356919999999
Atlanta|GA|Georgia|FULTON|Bank America|33.7602157|-84.38708489999999
Midville|GA|Georgia|BURKE|Coleman Lake|32.8190456|-82.2348455
Lula|GA|Georgia|HALL|Lula|34.3876013|-83.66628539999999
Keysville|GA|Georgia|BURKE|Keysville|33.2337555|-82.23234440000002
Rex|GA|Georgia|CLAYTON|Rex|33.5912973|-84.2687012
Jesup|GA|Georgia|WAYNE|Federal Correctional Inst|31.5638286|-81.9024073
Cairo|GA|Georgia|GRADY|Karo|30.8774132|-84.2012897
Peachtree City|GA|Georgia|FAYETTE|Peachtree City|33.3968557|-84.59634319999999
Swainsboro|GA|Georgia|EMANUEL|Modoc|32.6140236|-82.3342365
Brooklet|GA|Georgia|BULLOCH|Ivanhoe|32.2603006|-81.5249856
Brooklet|GA|Georgia|BULLOCH|Arcola|32.2989688|-81.6219102
Rockledge|GA|Georgia|LAURENS|Rockledge|32.4429472|-82.6976361
Greensboro|GA|Georgia|GREENE|Reynolds Plantation|33.4551548|-83.2410975
Mc Caysville|GA|Georgia|FANNIN|Mc Caysville|34.9861914|-84.37131169999999
Union Point|GA|Georgia|GREENE|Woodville|33.6156831|-83.0745969
Vidalia|GA|Georgia|TOOMBS|Petross|32.1479638|-82.4667967
Fort Oglethorpe|GA|Georgia|CATOOSA|Ft Oglethorpe|34.9489645|-85.2569
Waleska|GA|Georgia|CHEROKEE|Waleska|34.3164826|-84.5521524
Richland|GA|Georgia|STEWART|Richland|32.0879342|-84.66742029999999
Summerville|GA|Georgia|CHATTOOGA|Summerville|34.480642|-85.3477343
Naylor|GA|Georgia|LOWNDES|Naylor|30.9089028|-83.0785702
Port Wentworth|GA|Georgia|CHATHAM|Port Wentwrth|32.149092|-81.163168
Nicholls|GA|Georgia|COFFEE|Wilsonville|31.5174219|-82.63486019999999
Duluth|GA|Georgia|GWINNETT|Duluth|34.0028786|-84.1446376
Townsend|GA|Georgia|MCINTOSH|Ridgeville|31.4063357|-81.4014894
Macon|GA|Georgia|BIBB|Payne|32.8520242|-83.6793467
Millen|GA|Georgia|JENKINS|Thrift|32.8040512|-81.9492812
Atlanta|GA|Georgia|FULTON|Atl|33.6407282|-84.4277001
Atlanta|GA|Georgia|FULTON|Hapeville|33.660109|-84.4102046
Danville|GA|Georgia|TWIGGS|Danville|32.6057103|-83.24543609999999
Cataula|GA|Georgia|HARRIS|Cataula|32.655414|-84.8685418
Attapulgus|GA|Georgia|DECATUR|Attapulgus|30.7490815|-84.4837998
Atlanta|GA|Georgia|DEKALB|North Springs|33.9450588|-84.35720069999999
Sandersville|GA|Georgia|WASHINGTON|Sandersville|32.9815431|-82.810138
Hazlehurst|GA|Georgia|JEFF DAVIS|Roper|31.8696309|-82.59430259999999
Lincolnton|GA|Georgia|LINCOLN|Honora|33.7923477|-82.479018
Jackson|GA|Georgia|BUTTS|Jackson|33.2945651|-83.96602089999999
Homer|GA|Georgia|BANKS|Homer|34.3337156|-83.499055
Lakeland|GA|Georgia|LANIER|Lakeland|31.0327465|-83.072755
Alpharetta|GA|Georgia|FULTON|Alpharetta|34.0753762|-84.2940899
Warthen|GA|Georgia|WASHINGTON|Warthen|33.1020949|-82.80374909999999
Blackshear|GA|Georgia|PIERCE|Blackshear|31.3060513|-82.2420661
Guyton|GA|Georgia|EFFINGHAM|Pineora|32.285888|-81.390096
Flovilla|GA|Georgia|BUTTS|Flovilla|33.253734|-83.89851709999999
Cedar Springs|GA|Georgia|EARLY|Cedar Springs|31.1837614|-85.0372144
Darien|GA|Georgia|MCINTOSH|Darien|31.3702255|-81.43399029999999
Buford|GA|Georgia|GWINNETT|Sugarhill|34.1064895|-84.0335197
Hawkinsville|GA|Georgia|PULASKI|Hayneville|32.2837731|-83.4721177
Pendergrass|GA|Georgia|JACKSON|Pendergrass|34.16232919999999|-83.6779473
Forest Park|GA|Georgia|CLAYTON|Forest Park|33.6220542|-84.36909179999999
Fortson|GA|Georgia|MUSCOGEE|Fortson|32.6070821|-84.9371542
Cadwell|GA|Georgia|LAURENS|Cadwell|32.339615|-83.04209159999999
Tallulah Falls|GA|Georgia|RABUN|Tallulah Fls|34.7335338|-83.3715276
Shady Dale|GA|Georgia|JASPER|Farrar|33.3998151|-83.5859334
Atlanta|GA|Georgia|FULTON|East Point|33.6795531|-84.43937240000001
Atlanta|GA|Georgia|DEKALB|Chamblee|33.8920468|-84.29881259999999
Acworth|GA|Georgia|COBB|Acworth|34.0659329|-84.6768796
Talking Rock|GA|Georgia|PICKENS|Talking Rock|34.5092562|-84.5049279
Valdosta|GA|Georgia|LOWNDES|Valdosta State College|30.8489491|-83.2892064
Alston|GA|Georgia|MONTGOMERY|Alston|32.080743|-82.4776303
Thomson|GA|Georgia|MCDUFFIE|Winfield|33.4706927|-82.50457329999999
Milan|GA|Georgia|DODGE|Milan|32.0115187|-83.062255
Covington|GA|Georgia|NEWTON|Walnut Grove|33.742612|-83.85240399999999
Nashville|GA|Georgia|BERRIEN|Nashville|31.1959016|-83.2521203
Wrens|GA|Georgia|JEFFERSON|Wrens|33.2076456|-82.391792
Ashburn|GA|Georgia|TURNER|Ashburn|31.7060134|-83.653224
Nahunta|GA|Georgia|BRANTLEY|Hickox|31.20439|-81.98122599999999
Yatesville|GA|Georgia|UPSON|Yatesville|32.9137438|-84.1426922
Loganville|GA|Georgia|WALTON|Walnut Grove|33.742612|-83.85240399999999
Riceboro|GA|Georgia|LIBERTY|South Newport|31.7354935|-81.4334408
Bowdon Junction|GA|Georgia|CARROLL|Bowdon Junction|33.6631637|-85.14689179999999
Marietta|GA|Georgia|COBB|Marietta|33.95260200000001|-84.5499327
Chula|GA|Georgia|TIFT|Chula|31.5496278|-83.54738750000001
Harlem|GA|Georgia|COLUMBIA|Berzelia|33.4145834|-82.3126237
Savannah|GA|Georgia|CHATHAM|Hunter Aaf|32.0257862|-81.13297779999999
Redan|GA|Georgia|DEKALB|Redan|33.7423178|-84.1593413
Hartwell|GA|Georgia|HART|Hartwell|34.3528825|-82.932087
Midville|GA|Georgia|BURKE|Greenway|32.7237488|-82.2000753
Hinesville|GA|Georgia|LIBERTY|Fort Stewart|31.8690667|-81.6089873
Waverly|GA|Georgia|CAMDEN|Hickory Bluff|31.0947092|-81.7245535
Rabun Gap|GA|Georgia|RABUN|Rabun Gap|34.9464937|-83.42995619999999
Atlanta|GA|Georgia|FULTON|Tuxedo|33.8464013|-84.36169679999999
Roswell|GA|Georgia|FULTON|Roswell|34.0232431|-84.3615555
Washington|GA|Georgia|WILKES|Washington|33.7367948|-82.7393089
Stockbridge|GA|Georgia|HENRY|Stockbridge|33.5442781|-84.23380929999999
Jonesboro|GA|Georgia|CLAYTON|Jonesboro|33.5215013|-84.3538128
Matthews|GA|Georgia|JEFFERSON|Matthews|33.2109785|-82.3076238
Ludowici|GA|Georgia|LONG|Ludowici|31.7079919|-81.7423357
Eastanollee|GA|Georgia|STEPHENS|Eastanollee|34.520378|-83.2554372
Jefferson|GA|Georgia|JACKSON|Jefferson|34.1170537|-83.5723876
Mcdonough|GA|Georgia|HENRY|Mc Donough|33.4473361|-84.1468616
Norcross|GA|Georgia|GWINNETT|Parkway|33.9350426|-84.184631
Crawfordville|GA|Georgia|TALIAFERRO|Crawfordville|33.5540209|-82.8959785
Waverly Hall|GA|Georgia|HARRIS|Waverly Hall|32.683469|-84.7382609
Hinesville|GA|Georgia|LIBERTY|Hinesville|31.846877|-81.5959453
Wadley|GA|Georgia|JEFFERSON|Moxley|32.9268239|-82.419609
Eastman|GA|Georgia|DODGE|Plainfield|32.1976729|-83.1776514
Swainsboro|GA|Georgia|EMANUEL|Dellwood|32.5973856|-82.33373759999999
Bloomingdale|GA|Georgia|CHATHAM|Bloomingdale|32.1324248|-81.2990018
Gordon|GA|Georgia|WILKINSON|Stevens Pottery|32.9668022|-83.2988295
Sautee Nacoochee|GA|Georgia|WHITE|Saute Nacoche|34.6839825|-83.67434999999999
Shady Dale|GA|Georgia|JASPER|Shady Dale|33.4006823|-83.5901713
Cartersville|GA|Georgia|BARTOW|Cartersville|34.1650972|-84.7999382
Pineview|GA|Georgia|WILCOX|Pineview|32.1101702|-83.501003
Jekyll Island|GA|Georgia|GLYNN|Brunswick|31.07349189999999|-81.4114142
Esom Hill|GA|Georgia|POLK|Esom Hill|33.9489901|-85.3877329
Rochelle|GA|Georgia|WILCOX|Rochelle|31.9510105|-83.4562744
Mc Intyre|GA|Georgia|WILKINSON|Mc Intyre|32.840368|-83.1776046
Saint Simons Island|GA|Georgia|GLYNN|St Simons Is|31.1595905|-81.3885517
Cochran|GA|Georgia|BLECKLEY|Empire|32.3868278|-83.35460979999999
Scotland|GA|Georgia|TELFAIR|Scotland|55.8277389|-4.2139345
Cusseta|GA|Georgia|CHATTAHOOCHEE|Cusseta|32.3061354|-84.77704849999999
Brooklet|GA|Georgia|BULLOCH|Brooklet|32.37962940000001|-81.6631659
Baxley|GA|Georgia|APPLING|Baxley|31.7782514|-82.3484618
Savannah|GA|Georgia|CHATHAM|Thunderbolt|32.0335445|-81.04983419999999
Warm Springs|GA|Georgia|MERIWETHER|Warm Springs|32.8904081|-84.6810381
Gordon|GA|Georgia|WILKINSON|Ivey|32.9070875|-83.2907147
Portal|GA|Georgia|BULLOCH|Aaron|32.5286094|-81.92428749999999
Buford|GA|Georgia|GWINNETT|Rest Haven|34.1331569|-83.97657219999999
Greenville|GA|Georgia|MERIWETHER|Greenville|33.048056|-84.7097927
Concord|GA|Georgia|PIKE|Concord|33.0912359|-84.4374232
Hortense|GA|Georgia|BRANTLEY|Hortense|31.3366088|-81.9562253
Coleman|GA|Georgia|RANDOLPH|Coleman|31.6729444|-84.8890905
Atlanta|GA|Georgia|FULTON|Sandy Springs|33.9304352|-84.3733147
Davisboro|GA|Georgia|WASHINGTON|Riddleville|32.9068227|-82.66568939999999
Cumming|GA|Georgia|FORSYTH|Cumming|34.2073196|-84.14019259999999
High Shoals|GA|Georgia|OCONEE|High Shoals|33.8206001|-83.50597499999999
Thomaston|GA|Georgia|UPSON|Thomaston|32.8881879|-84.3265854
Kingsland|GA|Georgia|CAMDEN|Kingsland|30.7999563|-81.68982609999999
Portal|GA|Georgia|BULLOCH|Portal|32.538222|-81.93233839999999
Gracewood|GA|Georgia|RICHMOND|Gracewood|33.3662417|-82.0211313
Donalsonville|GA|Georgia|SEMINOLE|Dville|31.0404625|-84.87909110000001
Thomson|GA|Georgia|MCDUFFIE|Thomson|33.4706927|-82.50457329999999
Dawsonville|GA|Georgia|DAWSON|Dawsonville|34.4212052|-84.1190804
Gainesville|GA|Georgia|HALL|Gainesville|34.2978794|-83.8240663
Pine Mountain Valley|GA|Georgia|HARRIS|Pine Mtn Valy|32.8648522|-84.8540982
Stone Mountain|GA|Georgia|DEKALB|Stone Mtn|33.8081608|-84.17019599999999
